SMILES,Atom_importance,Bond_importance
CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],"[-0.00010629 -0.00129384 -0.00127933 -0.00231935 -0.00010629 -0.00163476
 -0.00064045 -0.00064045 -0.00163476 -0.00163476 -0.00163476 -0.00064045
 -0.00064045 -0.00064045 -0.00064045 -0.00260617 -0.00127933 -0.00117693]",
COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,"[-0.00010629 -0.00132743 -0.00012539 -0.00050031 -0.00129384 -0.00127933
 -0.00098909 -0.00128451 -0.00129384 -0.00127933 -0.00012539 -0.00163476
 -0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00125305]",
c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,"[-0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00163476 -0.00064045
 -0.00125305 -0.00012539 -0.00128451 -0.00163476 -0.00064045 -0.00064045
 -0.00163476 -0.00064045 -0.00064045 -0.00129384 -0.00127933 -0.00128451
 -0.00048149 -0.00012539 -0.00012539 -0.00132743 -0.00012539 -0.00012539]",
Cn1cncc1CCNC(=O)c1cc(cnc1)F,"[-0.00010629 -0.00280694 -0.00064045 -0.00279721 -0.00064045 -0.00163476
 -0.00012539 -0.00012539 -0.00128451 -0.00129384 -0.00127933 -0.00163476
 -0.00064045 -0.00163476 -0.00064045 -0.00279721 -0.00064045 -0.00125305]",
CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,"[-0.00010629 -0.00231935 -0.00012539 -0.00012539 -0.00051674 -0.00163476
 -0.00064045 -0.00064045 -0.00064045 -0.00064045 -0.00064045 -0.00031088
 -0.00129384 -0.00127933 -0.00050031 -0.00012539 -0.00012539 -0.00162851
 -0.00012539 -0.00012539 -0.00012539 -0.00129384 -0.00127933 -0.00098909]",
CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,"[-0.00010629 -0.00012539 -0.00050031 -0.00010629 -0.00050031 -0.00010629
 -0.00128451 -0.00129384 -0.00127933 -0.00128451 -0.00012539 -0.00163476
 -0.00064045 -0.00064045 -0.00279721 -0.00163476 -0.00064045 -0.00132006
 -0.00012539 -0.00150828 -0.00125305 -0.00125305 -0.00125305]",
COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,"[-0.00010629 -0.00132743 -0.00012539 -0.00051674 -0.00012539 -0.00012539
 -0.00012539 -0.00162851 -0.00012539 -0.00012539 -0.00163476 -0.00064045
 -0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00132006 -0.00012539
 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00064045 -0.00279721]",
CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,"[-0.00010629 -0.00150828 -0.00012539 -0.00163476 -0.00163476 -0.00184458
 -0.00163476 -0.00163476 -0.00163476 -0.00121327 -0.00280694 -0.00064045
 -0.00279721 -0.00128451 -0.00163476 -0.00064045 -0.00064045 -0.00064045
 -0.00064045 -0.00064045 -0.00012539 -0.00132743 -0.00010629]",
Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,"[-0.00010629 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00163476
 -0.00064045 -0.00132006 -0.00012539 -0.00012539 -0.00280694 -0.00163476
 -0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00163476 -0.00177765
 -0.00163476 -0.0013076  -0.00125305]",
C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,"[-0.00010629 -0.00051674 -0.00129384 -0.00127933 -0.00231935 -0.00012539
 -0.00012539 -0.00012539 -0.00051674 -0.00163476 -0.00064045 -0.00064045
 -0.00064045 -0.00184458 -0.00156546 -0.00010629 -0.00012539 -0.00129384
 -0.00127933 -0.00098909]",
COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,"[-0.00010629 -0.00132006 -0.00129384 -0.00127933 -0.00048149 -0.00050031
 -0.00012539 -0.00129384 -0.00127933 -0.00163476 -0.00064045 -0.00064045
 -0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00064045
 -0.00064045 -0.00064045 -0.00064045 -0.00129384 -0.00127933 -0.00132006
 -0.00010629]",
c1ccc(cc1)[C@@H]1CC[N@@H+](C1)[C@H]1CCCC[C@H]1O,"[-0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00064045
 -0.00050031 -0.00012539 -0.00012539 -0.00156546 -0.00012539 -0.00051674
 -0.00012539 -0.00012539 -0.00012539 -0.00012539 -0.00051674 -0.00031088]",
CN(CC1CC1)C(=O)NC[C@H](c1ccco1)[NH+]1CCCCC1,"[-0.00010629 -0.00231935 -0.00012539 -0.00048149 -0.00012539 -0.00012539
 -0.00129384 -0.00127933 -0.00128451 -0.00012539 -0.00050031 -0.00163476
 -0.00064045 -0.00064045 -0.00064045 -0.00182169 -0.00145891 -0.00012539
 -0.00012539 -0.00012539 -0.00012539 -0.00012539]",
CC(=CC(=O)OCc1cc(=O)oc2c1ccc(c2)OC)C,"[-0.00010629 -0.00129384 -0.00027225 -0.00129384 -0.00127933 -0.00132006
 -0.00012539 -0.00163476 -0.00064045 -0.00163476 -0.00127933 -0.00182169
 -0.00163476 -0.00163476 -0.00064045 -0.00064045 -0.00163476 -0.00064045
 -0.00132006 -0.00010629 -0.00010629]",
CC[C@@H](C)[NH2+]CCNCc1cccs1,"[-0.00010629 -0.00012539 -0.00051674 -0.00010629 -0.0011768  -0.00012539
 -0.00012539 -0.00129961 -0.00012539 -0.00163476 -0.00064045 -0.00064045
 -0.00064045 -0.00184458]",
COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,"[-0.00010629 -0.00132006 -0.00163476 -0.00064045 -0.00163476 -0.00064045
 -0.00064045 -0.00163476 -0.00132006 -0.00012539 -0.00129384 -0.00127933
 -0.00128451 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00064045
 -0.00064045 -0.00012539 -0.0011768  -0.00012539 -0.00012539 -0.00101801]",
CC(C)(C)c1c(cn[nH]1)C[NH2+]C[C@@H]1COC2(O1)CCOCC2,"[-0.00010629 -0.00150828 -0.00010629 -0.00010629 -0.00163476 -0.00163476
 -0.00064045 -0.00279721 -0.00177765 -0.00012539 -0.0011768  -0.00012539
 -0.00050031 -0.00012539 -0.00132743 -0.00150828 -0.00132743 -0.00012539
 -0.00012539 -0.00132743 -0.00012539 -0.00012539]",
C[N@H+]1CCC[C@H](C1)N(C)CC(=O)[O-],"[-0.00010629 -0.00156546 -0.00012539 -0.00012539 -0.00012539 -0.00050031
 -0.00012539 -0.00240294 -0.00010629 -0.00012539 -0.00129384 -0.00127933
 -0.00117693]",
C[NH+](C)[C@@H]1CC[C@@H](C1)NC(=O)CC1(CCCCC1)O,"[-0.00010629 -0.00145891 -0.00010629 -0.00050031 -0.00012539 -0.00012539
 -0.00051674 -0.00012539 -0.00128451 -0.00129384 -0.00127933 -0.00012539
 -0.00150828 -0.00012539 -0.00012539 -0.00012539 -0.00012539 -0.00012539
 -0.00031088]",
CC/[NH+]=C(/NCCc1nnc2n1CCCCC2)\NC[C@H]1CCCO1,"[-0.00010629 -0.00012539 -0.00150484 -0.00129384 -0.00128451 -0.00012539
 -0.00012539 -0.00163476 -0.00279721 -0.00279721 -0.00163476 -0.00280694
 -0.00012539 -0.00012539 -0.00012539 -0.00012539 -0.00012539 -0.00128451
 -0.00012539 -0.00051674 -0.00012539 -0.00012539 -0.00012539 -0.00132743]",
c1cc(nc(c1)OCC(F)F)C(=O)Nc1ccncc1O,"[-0.00064045 -0.00064045 -0.00163476 -0.00279721 -0.00163476 -0.00064045
 -0.00132006 -0.00012539 -0.00048149 -0.00125305 -0.00125305 -0.00129384
 -0.00127933 -0.00128451 -0.00163476 -0.00064045 -0.00064045 -0.00279721
 -0.00064045 -0.00163476 -0.00031789]",
c1cc(cc(c1)[N+](=O)[O-])CCC(=O)N[C@H]1CCOc2c1cccc2Cl,"[-0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00163476 -0.00064045
 -0.00260617 -0.00127933 -0.00117693 -0.00012539 -0.00012539 -0.00129384
 -0.00127933 -0.00128451 -0.00051674 -0.00012539 -0.00012539 -0.00132006
 -0.00163476 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00163476
 -0.00138915]",
CC(C)(C)c1nc(cs1)C[NH2+]Cc1cccc(c1)F,"[-0.00010629 -0.00150828 -0.00010629 -0.00010629 -0.00163476 -0.00279721
 -0.00163476 -0.00064045 -0.00184458 -0.00012539 -0.0011768  -0.00012539
 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00064045
 -0.00125305]",
Cc1csc(n1)CCNC(=O)N[C@@H](C)C(=O)NC,"[-0.00010629 -0.00163476 -0.00064045 -0.00184458 -0.00163476 -0.00279721
 -0.00012539 -0.00012539 -0.00128451 -0.00129384 -0.00127933 -0.00128451
 -0.00051674 -0.00010629 -0.00129384 -0.00127933 -0.00128451 -0.00010629]",
CCOC(=O)N1CCN(CC1)[C@H](C)C(=O)Nc1ccc(cn1)Cl,"[-0.00010629 -0.00012539 -0.00132006 -0.00129384 -0.00127933 -0.00231935
 -0.00012539 -0.00012539 -0.00240294 -0.00012539 -0.00012539 -0.00050031
 -0.00010629 -0.00129384 -0.00127933 -0.00128451 -0.00163476 -0.00064045
 -0.00064045 -0.00163476 -0.00064045 -0.00279721 -0.00138915]",
Cc1ccsc1[C@@H]1CCN(C[C@H]1O)C(=O)Cn1c(nnn1)N,"[-0.00010629 -0.00163476 -0.00064045 -0.00064045 -0.00184458 -0.00163476
 -0.00050031 -0.00012539 -0.00012539 -0.00231935 -0.00012539 -0.00051674
 -0.00031088 -0.00129384 -0.00127933 -0.00012539 -0.00280694 -0.00163476
 -0.00279721 -0.00279721 -0.00279721 -0.00098909]",
CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,"[-0.00010629 -0.00129384 -0.00129384 -0.00051674 -0.00129384 -0.00129384
 -0.00132006 -0.00051674 -0.00229036 -0.00229036 -0.00098909 -0.00138068
 -0.00214984 -0.00050031 -0.00027225 -0.00229036 -0.00229036 -0.00129384
 -0.00163476 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00064045
 -0.00125305]",
Cc1nc(on1)[C@@H](C)OC(=O)c1cc(cn1C)C(=O)N,"[-0.00010629 -0.00163476 -0.00279721 -0.00163476 -0.00182169 -0.00279721
 -0.00051674 -0.00010629 -0.00132006 -0.00129384 -0.00127933 -0.00163476
 -0.00064045 -0.00163476 -0.00064045 -0.00280694 -0.00010629 -0.00129384
 -0.00127933 -0.00098909]",
c1ccc(cc1)C[NH2+]Cc1ccccc1OCC(=O)[O-],"[-0.00064045 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00064045
 -0.00012539 -0.0011768  -0.00012539 -0.00163476 -0.00064045 -0.00064045
 -0.00064045 -0.00064045 -0.00163476 -0.00132006 -0.00012539 -0.00129384
 -0.00127933 -0.00117693]",
C[C@H]1C[C@H](CCO1)C(=O)OC[C@@H]1CCCN(C1)C(=O)c1ccccc1,"[-0.00010629 -0.00051674 -0.00012539 -0.00050031 -0.00012539 -0.00012539
 -0.00132743 -0.00129384 -0.00127933 -0.00132006 -0.00012539 -0.00050031
 -0.00012539 -0.00012539 -0.00012539 -0.00231935 -0.00012539 -0.00129384
 -0.00127933 -0.00163476 -0.00064045 -0.00064045 -0.00064045 -0.00064045
 -0.00064045]",
C=CCN(CCO)C(=O)N[C@H]1CC[C@@H](CC1)Oc1ccc(cn1)C#N,"[ 9.8345699e-05 -2.7225306e-04 -1.2538536e-04 -2.3193466e-03
 -1.2538536e-04 -1.2538536e-04 -3.1087891e-04 -1.2938365e-03
 -1.2793345e-03 -1.2845080e-03 -5.1673595e-04 -1.2538536e-04
 -1.2538536e-04 -5.1673595e-04 -1.2538536e-04 -1.2538536e-04
 -1.3200594e-03 -1.6347648e-03 -6.4045296e-04 -6.4045296e-04
 -1.6347648e-03 -6.4045296e-04 -2.7972106e-03 -1.3806781e-03
 -2.1498448e-03]",
CC1([C@H]([C@H]2[C@@H]1OCC2)NC(=O)N1CCN(CC1)CC#C)C,"[-0.00010629 -0.00150828 -0.00050031 -0.00051674 -0.00050031 -0.00132743
 -0.00012539 -0.00012539 -0.00128451 -0.00129384 -0.00127933 -0.00231935
 -0.00012539 -0.00012539 -0.00240294 -0.00012539 -0.00012539 -0.00012539
 -0.00138068 -0.00032663 -0.00010629]",
C[C@@]12CC[C@H]3[C@@H]([C@@H]1CC[C@]2(C#C)O)CCC1=CC(=O)CC[C@H]31,"[-0.00010629 -0.00148952 -0.00012539 -0.00012539 -0.00051674 -0.00051674
 -0.00050031 -0.00012539 -0.00012539 -0.00147137 -0.00138068 -0.00032663
 -0.00031088 -0.00012539 -0.00012539 -0.00129384 -0.00027225 -0.00129384
 -0.00127933 -0.00012539 -0.00012539 -0.00051674]",
CNCc1ccnnc1,"[-0.00010629 -0.00129961 -0.00012539 -0.00163476 -0.00064045 -0.00064045
 -0.00279721 -0.00279721 -0.00064045]",
CC1=C[C@H]2C3=C(CCN(C3)C(=O)C)N=C2C=C1,"[-0.00010629 -0.00129384 -0.00027225 -0.00051674 -0.00129384 -0.00129384
 -0.00012539 -0.00012539 -0.00231935 -0.00012539 -0.00129384 -0.00127933
 -0.00010629 -0.00229036 -0.00129384 -0.00027225 -0.00027225]",
COc1c(cc(cn1)C(F)(F)F)C=C,"[-1.06286585e-04 -1.32005941e-03 -1.63476483e-03 -1.63476483e-03
 -6.40452956e-04 -1.63476483e-03 -6.40452956e-04 -2.79721059e-03
 -1.50827796e-03 -1.25304982e-03 -1.25304982e-03 -1.25304982e-03
 -2.72253063e-04  9.83456994e-05]",
c1cc(c(cc1C(F)(F)F)C[N@H+](CCO)CCOCC(F)(F)F)Cl,"[-0.00064045 -0.00064045 -0.00163476 -0.00163476 -0.00064045 -0.00163476
 -0.00150828 -0.00125305 -0.00125305 -0.00125305 -0.00012539 -0.00162851
 -0.00012539 -0.00012539 -0.00031088 -0.00012539 -0.00012539 -0.00132743
 -0.00012539 -0.00150828 -0.00125305 -0.00125305 -0.00125305 -0.00138915]",
CCN(CC)C(=O)CCC(=O)Nc1ccc(cc1F)C(=O)OC,"[-0.00010629 -0.00012539 -0.00231935 -0.00012539 -0.00010629 -0.00129384
 -0.00127933 -0.00012539 -0.00012539 -0.00129384 -0.00127933 -0.00128451
 -0.00163476 -0.00064045 -0.00064045 -0.00163476 -0.00064045 -0.00163476
 -0.00125305 -0.00129384 -0.00127933 -0.00132006 -0.00010629]",
C1COC[C@H]1[C@@H](C(F)(F)F)N,"[-0.00012539 -0.00012539 -0.00132743 -0.00012539 -0.00051674 -0.00051674
 -0.00150828 -0.00125305 -0.00125305 -0.00125305 -0.00101801]",
CO[C@@H]1CCCC[C@@H]1[NH2+]CC(=O)N,"[-0.00010629 -0.00132743 -0.00050031 -0.00012539 -0.00012539 -0.00012539
 -0.00012539 -0.00050031 -0.0011768  -0.00012539 -0.00129384 -0.00127933
 -0.00098909]",
c1cc(oc1)C(=O)Nc1ccc2c(c1)N(CC2)C(=O)[C@@H]1CCCO1,"[-0.00064045 -0.00064045 -0.00163476 -0.00182169 -0.00064045 -0.00129384
 -0.00127933 -0.00128451 -0.00163476 -0.00064045 -0.00064045 -0.00163476
 -0.00163476 -0.00064045 -0.00231935 -0.00012539 -0.00012539 -0.00129384
 -0.00127933 -0.00050031 -0.00012539 -0.00012539 -0.00012539 -0.00132743]",
C[C@H](CN1CCOCC1)NC(=O)C[C@H](c1cccs1)NC(=O)C,"[-0.00010629 -0.00050031 -0.00012539 -0.00240294 -0.00012539 -0.00012539
 -0.00132743 -0.00012539 -0.00012539 -0.00128451 -0.00129384 -0.00127933
 -0.00012539 -0.00050031 -0.00163476 -0.00064045 -0.00064045 -0.00064045
 -0.00184458 -0.00128451 -0.00129384 -0.00127933 -0.00010629]",
Cc1cnn(c1)[C@@H]1CCCN(C1)C(=O)C[C@H]1c2c(ccs2)CCO1,"[-0.00010629 -0.00163476 -0.00064045 -0.00279721 -0.00280694 -0.00064045
 -0.00050031 -0.00012539 -0.00012539 -0.00012539 -0.00231935 -0.00012539
 -0.00129384 -0.00127933 -0.00012539 -0.00051674 -0.00163476 -0.00163476
 -0.00064045 -0.00064045 -0.00184458 -0.00012539 -0.00012539 -0.00132743]",
c1cc(ncc1S(=O)(=O)N1CCOCC1)NN,"[-0.00064045 -0.00064045 -0.00163476 -0.00279721 -0.00064045 -0.00163476
 -0.00139068 -0.00127933 -0.00127933 -0.00240294 -0.00012539 -0.00012539
 -0.00132743 -0.00012539 -0.00012539 -0.00128451 -0.00101801]",
C[C@@H]1CC[C@@H]([C@@H](C1)OC(=O)CSc1nnc(s1)N)C(C)C,"[-0.00010629 -0.00050031 -0.00012539 -0.00012539 -0.00051674 -0.00051674
 -0.00012539 -0.00132006 -0.00129384 -0.00127933 -0.00012539 -0.00138914
 -0.00163476 -0.00279721 -0.00279721 -0.00163476 -0.00184458 -0.00098909
 -0.00048149 -0.00010629 -0.00010629]",
COC[C@H](C[N@@H+](CC=C)Cc1[nH]c(=O)c2c3c(sc2n1)CCC3)O,"[-1.06286585e-04 -1.32743176e-03 -1.25385355e-04 -5.00306778e-04
 -1.25385355e-04 -1.56546454e-03 -1.25385355e-04 -2.72253063e-04
  9.83456994e-05 -1.25385355e-04 -1.63476483e-03 -1.77764776e-03
 -1.63476483e-03 -1.27933454e-03 -1.63476483e-03 -1.63476483e-03
 -1.63476483e-03 -1.84457854e-03 -1.63476483e-03 -2.79721059e-03
 -1.25385355e-04 -1.25385355e-04 -1.25385355e-04 -3.10878910e-04]",
C[C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O[C@H](C)C(=O)[O-])O,"[-0.00010629 -0.00050031 -0.00050031 -0.00051674 -0.00051674 -0.00027225
 -0.00127933 -0.00031088 -0.00031088 -0.00132743 -0.00050031 -0.00010629
 -0.00129384 -0.00127933 -0.00117693 -0.00031088]",
CCCOC(=O)C[C@H]1C(=O)NCCN1CC(=O)N(C)C1CCCCC1,"[-0.00010629 -0.00012539 -0.00012539 -0.00132006 -0.00129384 -0.00127933
 -0.00012539 -0.00051674 -0.00129384 -0.00127933 -0.00128451 -0.00012539
 -0.00012539 -0.00240294 -0.00012539 -0.00129384 -0.00127933 -0.00231935
 -0.00010629 -0.00048149 -0.00012539 -0.00012539 -0.00012539 -0.00012539
 -0.00012539]",
CCc1n[nH]c(=S)n1NCc1cc(c(c(c1)Br)OCC(=O)N)OCC,"[-0.00010629 -0.00012539 -0.00163476 -0.00279721 -0.00177765 -0.00163476
 -0.0013076  -0.00280694 -0.00128451 -0.00012539 -0.00163476 -0.00064045
 -0.00163476 -0.00163476 -0.00163476 -0.00064045 -0.00129459 -0.00132006
 -0.00012539 -0.00129384 -0.00127933 -0.00098909 -0.00132006 -0.00012539
 -0.00010629]",
C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,"[-0.00012539 -0.00012539 -0.00231935 -0.00012539 -0.00012539 -0.00048149
 -0.00129384 -0.00127933 -0.00098909 -0.00129384 -0.00127933 -0.00050031
 -0.00012539 -0.00129384 -0.00127933 -0.00231935 -0.00012539 -0.00048149
 -0.00012539 -0.00012539 -0.00132743 -0.00012539 -0.00012539]",
