SMILES,Atom_importance,Bond_importance
CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],"[ 0.00011642  0.00387019  0.0014794   0.00113465 -0.00022135  0.00543769
  0.01244949  0.01116885  0.00684688  0.00634361  0.00634379  0.01076253
  0.01061259  0.0113001   0.01156766  0.00078461  0.00171128  0.00110785]",
COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,"[-0.00067965 -0.00097161 -0.00427223 -0.00540425  0.00464661  0.00045351
  0.00168054  0.00473522  0.00537674  0.0007686  -0.00217641  0.00907539
  0.01557598  0.01776244  0.01386118  0.00630767  0.01024803 -0.00019679]",
c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,"[ 0.00723087  0.01025144  0.00651479  0.00629977  0.00573403  0.00839632
 -0.00090898 -0.00195573  0.00307184  0.00636937  0.01371669  0.01545365
  0.00759772  0.00995707  0.00889301  0.0039739   0.0008323   0.00296096
 -0.00284697 -0.00286979 -0.00231156 -0.0006467  -0.00156051 -0.00187311]",
Cn1cncc1CCNC(=O)c1cc(cnc1)F,"[-0.00095826 -0.00012985  0.00947478 -0.00148606  0.0109913   0.00810603
 -0.00308603 -0.00217403  0.0042534   0.00306078  0.00147172  0.01373392
  0.01138148  0.0078478   0.01400274 -0.00223869  0.01414654 -0.00095876]",
CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,"[-5.6130905e-04  4.3022272e-04 -1.9675607e-03 -2.5966102e-03
 -5.6154025e-04  5.6867534e-03  1.0906804e-02  1.3529669e-02
  1.3109923e-02  1.0471560e-02  8.7587209e-03  8.5470523e-04
  3.0228347e-03  4.8939243e-04 -3.0510663e-03 -3.5704272e-03
 -2.8159185e-03 -1.5818900e-03 -2.2035046e-03 -1.9893649e-03
 -2.6514153e-03  1.9023964e-03  3.6092673e-04  3.4190714e-05]",
CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,"[-0.00149037 -0.00234667 -0.00428391 -0.00167932 -0.00317346 -0.00149234
  0.00521902  0.00507048  0.0013904   0.00312206 -0.00216092  0.0093193
  0.01749431  0.01486371 -0.00188515  0.0060274   0.01193423  0.00063665
 -0.00306894 -0.00332497 -0.0008514  -0.00115181 -0.0009458 ]",
COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,"[-0.00132931 -0.00092443 -0.00210401 -0.00212579 -0.00210407 -0.00238305
 -0.00313381 -0.00272794 -0.0018311  -0.00283118  0.00608036  0.01111193
  0.01256848  0.01214347  0.01188782  0.00665743  0.00043124 -0.00102665
  0.00665596  0.01054888  0.01259377  0.00896448  0.00856062 -0.00067713]",
CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,"[-0.00246011 -0.00258483 -0.00185222  0.00728146  0.00846888  0.00025002
  0.00580087  0.0096003   0.00683827  0.00091603  0.00236588  0.01255576
 -0.0013604   0.00322553  0.00724119  0.01076252  0.00961137  0.00980505
  0.00865771  0.00727761 -0.00153982 -0.00083554 -0.00036467]",
Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,"[ 0.00028721  0.00545073  0.01005005  0.00967628  0.0090671   0.00426314
  0.00634292  0.00115097 -0.00118178 -0.00135432  0.00181455  0.00694026
  0.01100292  0.01050436  0.00787131  0.00398086  0.00521796  0.00510689
  0.00608703  0.00158147 -0.00013779]",
C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,"[-1.6736662e-03 -1.8987245e-03  4.9268096e-03  9.2136441e-04
  3.4504919e-04 -2.9519687e-03 -3.0671270e-03 -3.4931228e-03
 -7.3314056e-04  8.1908936e-03  1.5091167e-02  1.8467724e-02
  1.7733276e-02 -7.6977280e-04  2.2513996e-07 -1.1556797e-03
 -1.9741701e-03  3.9083841e-03  5.8074808e-04  1.1540793e-03]",
COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,"[-0.00059028  0.00038028  0.00235677  0.00080075 -0.0011527  -0.00316861
 -0.00233393  0.00283115  0.00102836  0.00569722  0.00753927  0.01136247
  0.01061627  0.00820107  0.00838104  0.00463956  0.00954069  0.01048054
  0.00983003  0.0089797   0.00548601  0.00287548  0.00021546  0.00052293
 -0.00037784]",
