SMILES,Atom_importance,Bond_importance
CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],"[-0.00220111  0.0040477   0.0009292   0.00123268 -0.00233238  0.00648418
  0.01197614  0.01251687  0.00767899  0.00628287  0.00638412  0.01155682
  0.01229318  0.01171139  0.01308899  0.00083569  0.00195513  0.00111961]",
COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,"[-0.00421152 -0.00252153 -0.00765937 -0.01204597  0.00277183 -0.00024125
  0.00026342  0.00399542  0.00457711 -0.00052655 -0.00549723  0.00758486
  0.0207553   0.01912143  0.01476019  0.00675954  0.01216958 -0.00185944]",
c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,"[ 0.00972161  0.00674931  0.00500385  0.00719664  0.00407757  0.00966138
 -0.0022605  -0.0040287   0.00218841  0.00386915  0.01152491  0.01378059
  0.00552585  0.00930328  0.00895358  0.00267013 -0.00013698  0.0017125
 -0.00388182 -0.00465651 -0.0035937  -0.00218645 -0.00292897 -0.00356305]",
Cn1cncc1CCNC(=O)c1cc(cnc1)F,"[-0.00195232  0.00216309  0.01479999 -0.00195619  0.01293794  0.00651762
 -0.00533481 -0.00464132  0.00393832  0.00418171  0.00040236  0.0094799
  0.01202042  0.00550071  0.0107514  -0.00137984  0.01531308 -0.00223655]",
CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,"[-0.00245734 -0.00085551 -0.00471195 -0.00425367 -0.00382311  0.00740705
  0.01603686  0.01429419  0.01389878  0.01189228  0.00795081 -0.00106561
  0.00314669 -0.00089721 -0.00660629 -0.00551186 -0.00424333 -0.00303917
 -0.00474557 -0.00591454 -0.00454368  0.00256445 -0.00088702  0.00034031]",
CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,"[-2.58001313e-03 -3.76238534e-03 -5.08865854e-03 -3.28128505e-03
 -4.99178329e-03 -3.40139633e-03  5.38547803e-03  4.32448322e-03
  8.66435439e-05  3.03364731e-03 -5.96834999e-03  9.96471383e-03
  2.12765895e-02  1.55229485e-02 -3.61060235e-03  6.16361527e-03
  1.29554896e-02 -1.17285142e-03 -5.66695118e-03 -5.54144569e-03
 -2.20808876e-03 -2.40709027e-03 -1.72280706e-03]",
COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,"[-0.00258111 -0.00244664 -0.00432582 -0.00635892 -0.00505826 -0.0046898
 -0.00496658 -0.00265697 -0.00441343 -0.0059435   0.00697684  0.01316497
  0.01108201  0.01505261  0.01466927  0.00687326  0.00024181 -0.0042549
  0.00466625  0.01187083  0.01616753  0.01499004  0.01068407 -0.00119882]",
CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,"[-0.00343623 -0.00543136 -0.00600356  0.00507431  0.00707965 -0.00234452
  0.00500299  0.01010673  0.00830858  0.00117025  0.00104297  0.00938575
 -0.00366111  0.00282244  0.00629605  0.01478464  0.00922343  0.00618711
  0.01112518  0.00926689 -0.00431021 -0.00368092 -0.00193717]",
Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,"[-0.00143036  0.00490425  0.00847744  0.00609176  0.00705201  0.00409396
  0.00570024 -0.00088355 -0.00272987 -0.00258272 -0.00017664  0.00518814
  0.01035189  0.00824099  0.00737984  0.00318238  0.0042064   0.00388772
  0.00443617  0.00094703 -0.00195266]",
C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,"[-0.00223996 -0.00269717  0.0041885  -0.00021439 -0.00039634 -0.00511591
 -0.00604217 -0.00450247 -0.00220688  0.00897092  0.01773117  0.01890242
  0.02005434 -0.00089452 -0.00218766 -0.00289638 -0.00522648  0.00359036
 -0.0002044   0.00110648]",
COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,"[-1.6617911e-03  8.5252686e-06  2.1037944e-03 -1.3451185e-05
 -2.8019256e-03 -3.4699612e-03 -3.3507913e-03  2.5172264e-03
 -2.1245451e-04  5.9318496e-03  1.0676343e-02  9.3211522e-03
  9.1119278e-03  7.1099834e-03  7.1621812e-03  5.2769016e-03
  9.5827878e-03  8.2709370e-03  1.0128380e-02  6.8374546e-03
  5.5064028e-03  2.2401137e-03 -5.4796791e-04 -7.0358714e-04
 -1.3973530e-03]",
c1ccc(cc1)[C@@H]1CC[N@@H+](C1)[C@H]1CCCC[C@H]1O,"[ 0.01359104  0.01549475  0.01397078  0.00797048  0.01215217  0.01448273
 -0.00838527 -0.00747573 -0.00633786 -0.00354438 -0.00519162 -0.00487508
 -0.00447821 -0.00514926 -0.00534151 -0.00601325 -0.00402243 -0.00197614]",
CN(CC1CC1)C(=O)NC[C@H](c1ccco1)[NH+]1CCCCC1,"[-1.9308112e-03 -6.3267763e-04 -4.6144230e-03 -3.7949760e-03
 -4.5975847e-03 -4.9428241e-03  3.7335097e-03 -3.6945890e-04
  6.0202847e-03 -4.7795456e-03 -6.5949671e-03  6.6162581e-03
  2.0804774e-02  1.9048981e-02  1.5137466e-02 -6.0246617e-05
 -2.4549400e-03 -4.3293401e-03 -3.6579114e-03 -4.6109241e-03
 -3.6169940e-03 -2.7077866e-03]",
CC(=CC(=O)OCc1cc(=O)oc2c1ccc(c2)OC)C,"[-0.00203106  0.00145628  0.00845971  0.00410746 -0.00029281 -0.00116759
 -0.00545475  0.00803111  0.00974451  0.00643532 -0.00030627 -0.0012339
  0.00666536  0.00623108  0.01960487  0.01384344  0.00771212  0.01161768
 -0.00048134 -0.00348449 -0.0023914 ]",
CC[C@@H](C)[NH2+]CCNCc1cccs1,"[-0.00439104 -0.00674789 -0.00948363 -0.00578282 -0.00620223 -0.00765711
 -0.00830036 -0.000236   -0.00837778  0.0090035   0.01894704  0.02083601
  0.02227727 -0.00289129]",
COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,"[-0.00108481 -0.00045648  0.00345305  0.0060624   0.00339911  0.00705837
  0.0103352   0.00454745 -0.00049297 -0.0029456   0.00209501 -0.00048401
  0.00148756  0.00393755  0.00544224  0.00752659  0.00710474  0.00669187
  0.00654598 -0.00289131 -0.0012902  -0.00258924 -0.00243641 -0.00051594]",
