SMILES,Atom_importance,Bond_importance
CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],"[3.09115130e-05 9.78617463e-05 7.72511412e-05 1.15822586e-04
 1.64395547e-04 1.15364615e-04 5.62600435e-05 1.67639548e-04
 5.94882331e-05 9.23623375e-05 3.42770945e-05 1.99463335e-04
 9.19962040e-05 1.25126448e-04 1.06705302e-05 1.22150857e-04
 1.99003684e-04 1.59540577e-04]",
COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,"[1.76240879e-04 5.14358362e-05 4.15119684e-05 1.38880860e-04
 7.69482285e-05 5.88772818e-05 1.50847380e-04 4.31466106e-05
 9.01999301e-05 1.10654044e-04 1.20759378e-05 5.78471299e-05
 7.53194181e-05 1.69181891e-04 1.91126528e-04 1.16813899e-04
 1.94524429e-04 5.31363949e-05]",
c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,"[9.2387352e-05 1.4173331e-04 1.9182762e-05 3.2345059e-05 3.3052114e-05
 9.7368378e-05 1.9107116e-05 1.9346624e-04 1.9772208e-04 1.6631217e-05
 2.0083660e-05 3.4648056e-05 1.6422971e-04 5.5759578e-05 1.5483037e-04
 1.2640495e-04 1.3693218e-04 3.0481349e-06 8.6580287e-05 1.2934619e-05
 6.4798340e-05 8.4770007e-05 5.5055832e-05 1.1615239e-04]",
Cn1cncc1CCNC(=O)c1cc(cnc1)F,"[1.2694229e-04 1.1778535e-04 2.5261388e-05 1.3676770e-04 1.5158104e-04
 1.2381472e-04 1.2434548e-04 2.2815708e-05 1.2961492e-05 1.2727037e-04
 9.8155164e-05 8.2143757e-05 6.1720115e-05 3.0396264e-05 3.7183341e-05
 1.7689493e-04 4.2955529e-05 1.8023096e-04]",
CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,"[2.65150393e-05 1.99134607e-04 1.71558167e-05 1.22530430e-04
 1.80197560e-04 1.36460774e-04 1.04176092e-04 7.90039339e-05
 1.19535835e-04 1.37658397e-04 4.66725578e-05 6.53162078e-06
 1.99295930e-04 1.50432374e-04 1.51225729e-04 6.51120281e-05
 9.55705400e-05 1.52259367e-04 5.49103352e-05 2.24940304e-05
 1.21453886e-04 1.61765565e-04 1.88144084e-04 1.53915738e-04]",
CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,"[1.77799011e-04 7.13880872e-05 1.19656754e-04 8.84141191e-05
 7.84021904e-05 8.53001111e-05 1.85134020e-04 1.58468451e-04
 1.41721219e-04 1.76013127e-04 2.54192746e-05 1.66243379e-04
 5.48661083e-05 4.44547804e-05 1.20463301e-04 1.01325822e-04
 1.24810933e-04 1.33802299e-04 6.65738753e-06 6.33713789e-05
 1.07142027e-04 8.16047614e-05 1.43058845e-04]",
COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,"[2.2326489e-05 1.8034379e-04 1.1808624e-04 1.0874067e-04 8.0775688e-05
 1.5830186e-04 1.6559078e-04 1.0837384e-04 8.5808584e-05 1.4321720e-04
 9.0110574e-05 9.6052900e-05 1.2441476e-04 1.8594319e-04 1.8899330e-04
 1.7589354e-04 1.2656423e-04 1.3842819e-04 1.2734544e-04 1.4785302e-04
 3.2958102e-05 1.6152191e-04 6.7700763e-05 1.2043034e-04]",
CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,"[1.3948620e-04 8.9443805e-05 7.9484700e-05 7.6146210e-07 1.4568960e-04
 1.4372455e-04 1.6330542e-04 4.9171635e-05 1.2861461e-04 1.6454673e-05
 1.5749718e-05 1.6176621e-04 1.8348625e-05 7.0824462e-05 1.6395778e-04
 2.5035057e-05 5.3911397e-05 1.5765356e-04 1.2082379e-04 1.5155323e-04
 1.4416807e-04 1.9223885e-04 1.1104185e-04]",
Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,"[6.62280145e-05 1.57496776e-04 2.47267162e-05 7.04453851e-05
 3.76846474e-05 1.79623195e-04 3.56417854e-06 6.90966772e-05
 1.69712526e-04 1.10882705e-04 1.60353462e-04 1.22951489e-04
 1.84282209e-04 8.25305178e-05 1.23294230e-04 5.71965647e-05
 1.27982770e-04 1.73228385e-04 1.48622668e-04 6.11024589e-05
 1.56204638e-04]",
C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,"[1.35606839e-04 6.46996778e-05 1.57060043e-04 8.39702043e-05
 3.85895255e-05 1.09861183e-04 5.33913590e-05 1.22441430e-04
 1.92514504e-04 2.67632913e-05 9.03058171e-05 7.53239656e-05
 5.09486490e-05 1.24611484e-04 1.07831045e-04 9.54886855e-06
 1.58404699e-04 4.11776164e-05 1.20113931e-04 1.87607686e-04]",
COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,"[1.8009379e-04 1.9186804e-04 1.1920705e-04 2.7247177e-05 4.5271387e-05
 1.0702546e-04 1.7644057e-05 6.2046479e-06 1.5279718e-05 1.3061418e-05
 6.8070818e-05 7.7409284e-05 1.7516155e-04 6.1547151e-05 1.5359159e-04
 1.4471474e-04 3.4655430e-05 7.3476449e-06 1.1077367e-04 6.7755616e-05
 7.2985946e-05 1.1172591e-04 2.1928396e-05 2.9642184e-05 9.5188123e-05]",
c1ccc(cc1)[C@@H]1CC[N@@H+](C1)[C@H]1CCCC[C@H]1O,"[1.70576619e-04 1.62783428e-04 1.47265264e-05 5.10747559e-05
 7.49101382e-05 8.30620993e-05 7.36115253e-05 1.99800954e-04
 1.48333405e-04 1.79990224e-04 1.75302324e-04 1.17625932e-04
 1.38272051e-04 6.65926054e-05 1.01575046e-04 7.19557602e-06
 8.93472316e-05 9.25937456e-06]",
CN(CC1CC1)C(=O)NC[C@H](c1ccco1)[NH+]1CCCCC1,"[1.6545474e-04 6.6792658e-05 9.4705742e-05 7.1834969e-05 6.8219713e-05
 8.5806423e-05 1.8217796e-04 1.4754200e-04 1.6440637e-04 3.8712174e-06
 3.3879311e-05 7.0700000e-05 4.6245063e-05 1.8831945e-05 1.2579982e-04
 1.9892221e-04 1.6507351e-04 4.3249249e-05 7.2686256e-05 7.4302618e-05
 1.8683219e-04 1.8923382e-04]",
CC(=CC(=O)OCc1cc(=O)oc2c1ccc(c2)OC)C,"[1.8949766e-05 1.3465172e-04 3.4297987e-05 5.6888464e-05 1.7392127e-04
 1.6834404e-04 4.1094878e-05 1.9671841e-04 3.0384539e-05 1.8493281e-04
 1.8680091e-04 8.5383101e-05 8.0844104e-05 8.4925865e-05 1.0681414e-04
 1.6319456e-04 1.3879004e-04 1.7806831e-04 1.0137148e-04 4.7172678e-05
 1.0580989e-04]",
CC[C@@H](C)[NH2+]CCNCc1cccs1,"[5.6902143e-05 1.7271993e-04 5.5507330e-06 8.7646760e-05 1.3123392e-04
 1.5518982e-04 1.8757273e-04 1.4570977e-04 8.9997637e-05 1.4162051e-04
 4.2568183e-05 7.7627563e-05 4.3159558e-05 1.9385893e-04]",
COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,"[1.8990776e-04 6.7817258e-05 1.4286536e-04 1.2974317e-04 4.0434694e-05
 3.5019206e-05 1.7203591e-04 1.3248919e-04 4.7983456e-05 3.6109763e-05
 7.2973475e-05 1.7818663e-04 1.5771746e-04 6.3422412e-05 1.4588714e-04
 1.3220219e-05 6.0285474e-05 1.5064114e-04 6.5030734e-05 1.4417971e-04
 1.9447759e-04 6.7404566e-05 4.8716229e-05 1.5005892e-05]",
CC(C)(C)c1c(cn[nH]1)C[NH2+]C[C@@H]1COC2(O1)CCOCC2,"[7.2470233e-05 6.5019367e-06 1.4935853e-04 1.0721131e-04 5.3393764e-05
 2.6866706e-05 1.1692389e-04 1.3809191e-04 1.3515841e-04 1.2783046e-04
 1.1005338e-04 3.7196091e-06 1.7898988e-04 4.1660587e-06 7.6498756e-05
 1.3073072e-04 8.6142078e-05 7.8581455e-05 3.8323992e-07 1.4750754e-04
 7.6580181e-05 4.0099723e-05]",
C[N@H+]1CCC[C@H](C1)N(C)CC(=O)[O-],"[1.18336357e-04 4.64863842e-05 4.88381629e-05 5.35439285e-05
 1.16551200e-04 3.65872511e-05 1.54863446e-04 8.66111659e-05
 1.94103923e-04 1.39207114e-04 1.09913344e-04 1.83529628e-04
 1.98100970e-04]",
