explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
GradCAM,3,CC(=O)N(C)c1ccc(c2c1cccc2)[N+](=O)[O-],O=CNc1ccc([N+](=O)[O-])c2ccccc12,O=CNc1ccc([N+](=O)[O-])c2ccccc12,CC.CN,CC,0.565568,0.572062,0.459984,0.105584,-0.006494,0.888889
GradCAM,9,COC[C@H](C(=O)N)NC(=O)Cc1cccc(c1)F,NC=O.NC=O.c1ccccc1,NC=O.NC=O,CC.CCOC.cF,CC.CCOC,0.518624,0.490961,0.906409,-0.387785,0.027663,0.666667
GradCAM,10,c1cc(cc(c1)F)CNc1ccc(cc1)C(=O)NC1CCOCC1,NC(=O)c1ccc(N)cc1.c1ccccc1,NC(=O)c1ccc(N)cc1,NC1CCOCC1.cC.cF,NC1CCOCC1,0.540191,0.567293,0.431738,0.108453,-0.027102,0.666667
GradCAM,13,Cn1cncc1CCNC(=O)c1cc(cnc1)F,cccc(c)C(N)=O.ccnc,"",Cn.cCC.cF.cn.cn,"",0.546673,NaN,NaN,NaN,NaN,0.666667
GradCAM,17,CN(CC[C@@H](c1ccccc1)O)C(=O)[C@@H]1CC[N@H+](CC1)CC(=O)N,NC=O.NC=O.O.c1ccccc1,NC=O.NC=O.O,CCCNC.C[C@H]1CC[N@H+](C)CC1,CCCNC,0.489150,0.484110,0.443845,0.045306,0.005041,0.541667
GradCAM,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,NC(N)=O.cccccO,NC(N)=O,CC[C@H](C)CC.CN.OCC(F)(F)F.cn,CC[C@H](C)CC.CN.OCC(F)(F)F,0.492734,0.490683,1.345314,-0.852580,0.002051,0.434783
GradCAM,27,COC[C@H]1CCC[N@H+](C1)Cc1ccccc1OCc1ccccn1,Oc1ccccc1.ccccc,Oc1ccccc1,CO.COC[C@H]1CCC[N@@H+](C)C1.cn,CO.COC[C@H]1CCC[N@@H+](C)C1,0.519710,0.578041,0.892034,-0.372324,-0.058331,0.500000
GradCAM,33,CC1(Cc2c(sc3c2c(=[NH2+])n(cn3)Nc2ccccc2)CO1)C,ccc(c)c(=[NH2+])n(c)Nc1ccccc1,"",CC(C)(C)OCcs.cn,"",0.556741,NaN,NaN,NaN,NaN,0.652174
GradCAM,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,Oc1ccccc1.S=c1nc2ccccc2[nH]1,Oc1ccccc1,CCO.Cc.cF,CCO,0.567857,0.578041,0.452002,0.115855,-0.010185,0.809524
GradCAM,40,C[C@@H](C(=O)N1CCC[C@H]1c1cccs1)[N@@H+](C)CC(=O)N,C=O.NC=O.cccc,C=O.NC=O,CC[NH+](C)C.CN1CCCC1.cs,CC[NH+](C)C.CN1CCCC1,0.490293,0.483341,0.879551,-0.389257,0.006952,0.450000
GradCAM,41,COC(=O)C([C@H](CC(=O)c1ccccc1)c1ccccc1)C(=O)OC,O=CO.O=CO.O=Cc1ccccc1.c1ccccc1,O=CO.O=CO.O=Cc1ccccc1,CCCC.CO.CO,CCCC.CO,0.547966,0.520084,0.906073,-0.358107,0.027882,0.800000
