explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
GradCAM,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,NC(N)=O.cccccO,NC(N)=O,CC[C@H](C)[C@H](C)N.OCC(F)(F)F.cCN.cnc,CC[C@H](C)[C@H](C)N.OCC(F)(F)F,0.49273353815078735,0.4906827211380005,0.8817648887634277,-0.3890313506126404,0.0020508170127868652,0.43478260869565216
GradCAM,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,Cc1cccc(O)c1.S=c1nc2ccccc2[nH]1,Cc1cccc(O)c1,cF.nCCO,,0.5678566098213196,0.5707301497459412,,,-0.002873539924621582,0.8571428571428571
GradCAM,76,COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,O=CNc1ccccc1.Oc1ccccc1O,O=CNc1ccccc1.Oc1ccccc1O,CCO.CO.cC[NH2+]CCN,CCO.CO,0.545822024345398,0.5735203921794891,0.9144438803195953,-0.3686218559741974,-0.027698367834091187,0.7083333333333334
GradCAM,141,CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,C.C=C.C=C(N)O.Cc1ccccc1,C.C=C.C=C(N)O.Cc1ccccc1,CCN=N[C@H](O)C[C@@H](CC#N)C1C=NN=C1.cF,CCN=N[C@H](O)C[C@@H](CC#N)C1C=NN=C1,0.5208746790885925,0.5067437291145325,0.4508102238178253,0.07006445527076721,0.014130949974060059,0.56
GradCAM,245,C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,NC=O.NC=O.NC=O,NC=O.NC=O.NC=O,CC1CCNCC1.CC[C@@H](C)CNC1CCOCC1,CC1CCNCC1.CC[C@@H](C)CNC1CCOCC1,0.4460951089859009,0.4909611940383911,0.8623873591423035,-0.4162922501564026,-0.044866085052490234,0.391304347826087
GradCAM,291,c1cc(ccc1/C=C/C(=O)c1ccc(cc1)F)O,O=C(/C=C/c1ccc(O)cc1)c1ccc(F)cc1,O=C(/C=C/c1ccc(O)cc1)c1ccc(F)cc1,,,0.5758583545684814,0.5769417881965637,0.0,0.5758583545684814,-0.0010834336280822754,1.0
GradCAM,293,Cc1cccc(c1)[C@@](C)(C[NH3+])O,c1ccccc1,c1ccccc1,Cc.cC(C)(O)C[NH3+],,0.5305008888244629,0.5809750556945801,,,-0.05047416687011719,0.5
GradCAM,320,CCOc1cccc(c1)C(=O)N1CC[NH+](CC1)[C@@H]1CCC[C@@H]1O,NC(=O)c1cccc(O)c1,NC(=O)c1cccc(O)c1,CCO.O[C@H]1CCC[C@H]1[NH+]1CCNCC1,CCO.O[C@H]1CCC[C@H]1[NH+]1CCNCC1,0.48793306946754456,0.56764155626297,0.8786042332649231,-0.39067116379737854,-0.07970848679542542,0.43478260869565216
GradCAM,324,c1c([nH]cn1)C[C@@H](c1nc(nn1CC(F)(F)F)C1CC1)N,N.c.cc[nH]c.cn,N,cC[C@H](N)cnc(nnCC(F)(F)F)C1CC1.cnc,,0.4928376376628876,0.4738817811012268,,,0.018955856561660767,0.38095238095238093
GradCAM,373,c1cc(sc1)C(=O)NCCC(=O)OC[C@@H]1CCC=CC1,C=C.O=CO.ccccC(N)=O,C=C.O=CO,CCCN.CCC[C@H](CC)CO.csc,CCCN.CCC[C@H](CC)CO,0.49504002928733826,0.487135574221611,0.8796101212501526,-0.38457009196281433,0.007904455065727234,0.6
