explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
IG,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,NC(N)=O.ccccc,NC(N)=O,CC[C@H](C)[C@H](C)N.cCN.cncOCC(F)(F)F,CC[C@H](C)[C@H](C)N,0.49273353815078735,0.4906827211380005,0.43737685680389404,0.05535668134689331,0.0020508170127868652,0.391304347826087
IG,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,Oc1ccccc1.S=c1nc2ccccc2[nH]1,Oc1ccccc1,Cc.cF.nCCO,,0.5678566098213196,0.5780411958694458,,,-0.01018458604812622,0.8095238095238095
IG,76,COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,CNc1ccccc1.c1ccccc1,CNc1ccccc1.c1ccccc1,COc.cC[NH2+]CCN.cOCC=O,,0.545822024345398,0.5768319368362427,,,-0.031009912490844727,0.5833333333333334
IG,141,CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,C.C=C.C=CN.Cc1ccccc1,C.C=C.C=CN.Cc1ccccc1,CCN=N[C@@H](C[C@@H](CC#N)C1C=NN=C1)OC.cF,CCN=N[C@@H](C[C@@H](CC#N)C1C=NN=C1)OC,0.5208746790885925,0.5068760439753532,0.4510522186756134,0.06982246041297913,0.013998635113239288,0.52
IG,245,C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,C.CN.NC=O,C.CN.NC=O,CC1CCNCC1.O=C[C@@H]1CC(=O)N(C2CCOCC2)C1,CC1CCNCC1.O=C[C@@H]1CC(=O)N(C2CCOCC2)C1,0.4460951089859009,0.4751066168149312,0.8764025270938873,-0.43030741810798645,-0.029011507829030336,0.2608695652173913
IG,291,c1cc(ccc1/C=C/C(=O)c1ccc(cc1)F)O,O=C(/C=C/c1ccc(O)cc1)c1ccccc1,O=C(/C=C/c1ccc(O)cc1)c1ccccc1,cF,,0.5758583545684814,0.5805299878120422,,,-0.004671633243560791,0.9444444444444444
IG,293,Cc1cccc(c1)[C@@](C)(C[NH3+])O,c1ccccc1,c1ccccc1,Cc.cC(C)(O)C[NH3+],,0.5305008888244629,0.5809750556945801,,,-0.05047416687011719,0.5
IG,320,CCOc1cccc(c1)C(=O)N1CC[NH+](CC1)[C@@H]1CCC[C@@H]1O,Cc1ccccc1,Cc1ccccc1,CCOc.O=CN1CC[NH+]([C@@H]2CCC[C@@H]2O)CC1,O=CN1CC[NH+]([C@@H]2CCC[C@@H]2O)CC1,0.48793306946754456,0.5748069882392883,0.43278297781944275,0.05515009164810181,-0.08687391877174377,0.30434782608695654
IG,324,c1c([nH]cn1)C[C@@H](c1nc(nn1CC(F)(F)F)C1CC1)N,c.cc[nH]c.cn,,cC[C@H](N)cnc(nnCC(F)(F)F)C1CC1.cnc,,0.4928376376628876,,,,,0.3333333333333333
IG,373,c1cc(sc1)C(=O)NCCC(=O)OC[C@@H]1CCC=CC1,C=C.C=O.ccccC(N)=O,C=C.C=O,CCC[C@H](CC)COCCCN.csc,CCC[C@H](CC)COCCCN,0.49504002928733826,0.4788895398378372,0.43125951290130615,0.0637805163860321,0.016150489449501038,0.55
IG,377,Cc1c(cnc(n1)[C@H]1CCCN1C(=O)COc1ccccc1)C(=O)N,CN.Oc1ccccc1.c.cc(c)C(N)=O,CN.Oc1ccccc1,O=CCO.cnc(ncC)[C@H]1CCCN1,O=CCO,0.5295400023460388,0.5201636403799057,0.46733352541923523,0.06220647692680359,0.009376361966133118,0.64
