explainer,mol_idx,smile,explaining_smile,clean_explanation,non_explaining_smile,clean_nonexplanation,mol_pred,e_pred,ne_pred,comp,suff,expl length
Random,18,CC[C@H](C)[C@H](C)NC(=O)NCc1ccnc(c1)OCC(F)(F)F,C.C.F.F.NC(N)=O.ccc(n)O,C.C.F.F.NC(N)=O,C.C.C.CC.CCF.cc,C.C.C.CC.CCF,0.49273353815078735,0.4770395278930664,2.3273168206214905,-1.8345832824707031,0.015694010257720936,0.5652173913043478
Random,34,Cc1cccc(c1)OCCn1c2cccc(c2[nH]c1=S)F,F.c.c.c.cc1c[nH]cn1CC,F,C.O.S.c.c.c.ccc,C.O.S,0.5678566098213196,0.4751848876476288,1.4162884056568146,-0.848431795835495,0.0926717221736908,0.5714285714285714
Random,76,COc1cc(ccc1OCC(=O)Nc1ccccc1)C[NH2+]CCN,C.C[NH2+].N.O.c.c.cccc,C.C[NH2+].N.O,CCN.CCO.O.cc.cc.cc,CCN.CCO.O,0.545822024345398,0.47021665424108505,1.3745242059230804,-0.8287021815776825,0.0756053701043129,0.4583333333333333
Random,141,CC1=C2[C@@H](C(=C(O[C@H]2N=N1)N)C#N)[C@@H]1C=NN=C1c1ccc(cc1)F,CC[C@@H](CC=NN)CCO.N.c.cc(c)F,CC[C@@H](CC=NN)CCO.N,C.C.CCN=N.N.c.c,C.C.CCN=N.N,0.5208746790885925,0.4604036957025528,1.869352012872696,-1.3484773337841034,0.060470983386039734,0.64
Random,245,C1CN(CC[C@@H]1C(=O)N)C(=O)[C@@H]1CC(=O)N(C1)C1CCOCC1,CCCN1C[C@H](CN(C)CCCC=O)CC1=O,CCCN1C[C@H](CN(C)CCCC=O)CC1=O,C.CCO.N.O,C.CCO.N.O,0.4460951089859009,0.44175493717193604,1.8683634102344513,-1.4222683012485504,0.004340171813964844,0.7391304347826086
Random,291,c1cc(ccc1/C=C/C(=O)c1ccc(cc1)F)O,CC=O.F.c.cc.cc.cc,CC=O.F,O.c.c.c.ccC,O,0.5758583545684814,0.4753575325012207,0.4704074263572693,0.10545092821121216,0.10050082206726074,0.6111111111111112
Random,293,Cc1cccc(c1)[C@@](C)(C[NH3+])O,C.c.cc,C,C.C.C[NH3+].O.c.cc,C.C.C[NH3+].O,0.5305008888244629,0.472072571516037,1.877874881029129,-1.3473739922046661,0.0584283173084259,0.3333333333333333
Random,320,CCOc1cccc(c1)C(=O)N1CC[NH+](CC1)[C@@H]1CCC[C@@H]1O,C.CC[NH+]C.CN.cccc,C.CC[NH+]C.CN,C.C.C.CCCO.O.ccC=O,C.C.C.CCCO.O,0.48793306946754456,0.46145673592885333,2.331735849380493,-1.8438027799129486,0.02647633353869122,0.4782608695652174
Random,324,c1c([nH]cn1)C[C@@H](c1nc(nn1CC(F)(F)F)C1CC1)N,C1CC1.CCN.FCF.c.c[nH].n.n,C1CC1.CCN.FCF,F.c.c.cnC.n,F,0.4928376376628876,0.4485095739364624,0.4751848876476288,0.01765275001525879,0.04432806372642517,0.6666666666666666
Random,373,c1cc(sc1)C(=O)NCCC(=O)OC[C@@H]1CCC=CC1,C.CC.CC.ccC=O,C.CC.CC,C.CCC.N.O=CO.ccs,C.CCC.N.O=CO,0.49504002928733826,0.464013268550237,1.8887674510478973,-1.393727421760559,0.031026760737101255,0.45
Random,377,Cc1c(cnc(n1)[C@H]1CCCN1C(=O)COc1ccccc1)C(=O)N,C.C.C.CcncCN.cccc,C.C.C,C.C.C=O.N.O.ccO.ccn,C.C.C=O.N.O,0.5295400023460388,0.472072571516037,2.364155501127243,-1.8346154987812042,0.05746743083000183,0.52
Random,410,C[C@H](Cn1cccn1)NC(=O)NCc1cc[nH+]c(c1)N1CCCC1,CCC.CCC.O.c.ccc[nH+],CCC.CCC.O,CNCN.ccNC.cnnc,CNCN,0.526145339012146,0.45720239480336505,0.4525548815727234,0.07359045743942261,0.06894294420878094,0.5
Random,419,COCC[NH2+]CC(=O)N,CC,CC,CO.NC(=O)C[NH2+],CO.NC(=O)C[NH2+],0.4482828676700592,0.45998361706733704,0.93234783411026,-0.4840649664402008,-0.011700749397277832,0.2222222222222222
Random,466,COc1ccc(cc1)Oc1ccc(cc1)NC(=O)CCC(=O)[O-],C.CN.cc.ccOC,C.CN,CC.O.O.[O-].ccccOc(c)cc,CC.O.O.[O-],0.557905912399292,0.4671793282032013,1.8747182786464691,-1.3168123662471771,0.0907265841960907,0.391304347826087
